date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:41	27607/27607	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-6bd7%22	https://technext.github.io/deskapp2/index.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/index.html	(from )
12:53:42	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73a03c-247b%22	https://technext.github.io/robots.txt		(from )
12:53:42	9402/9402	---M--	200	added ('OK')	image/png	etag:%225f6338af-24ba%22	https://technext.github.io/deskapp2/vendors/images/apple-touch-icon.png	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/apple-touch-icon.png	(from https://technext.github.io/deskapp2/index.html)
12:53:42	849/849	---M--	200	added ('OK')	image/png	etag:%225f6338af-351%22	https://technext.github.io/deskapp2/vendors/images/favicon-32x32.png	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/favicon-32x32.png	(from https://technext.github.io/deskapp2/index.html)
12:53:42	460/460	---M--	200	added ('OK')	image/png	etag:%225f6338af-1cc%22	https://technext.github.io/deskapp2/vendors/images/favicon-16x16.png	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/favicon-16x16.png	(from https://technext.github.io/deskapp2/index.html)
12:53:42	329785/329785	---M-Z	200	added ('OK')	text/css	etag:W/%225f6338af-50839%22	https://technext.github.io/deskapp2/vendors/styles/core.css	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/styles/core.css	(from https://technext.github.io/deskapp2/index.html)
12:53:43	163432/163432	---M-Z	200	added ('OK')	text/css	etag:W/%225f6338af-27e68%22	https://technext.github.io/deskapp2/vendors/styles/icon-font.min.css	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/styles/icon-font.min.css	(from https://technext.github.io/deskapp2/index.html)
12:53:43	5222/5222	---M-Z	200	added ('OK')	text/css	etag:W/%225f6338af-1466%22	https://technext.github.io/deskapp2/src/plugins/datatables/css/dataTables.bootstrap4.min.css	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/src/plugins/datatables/css/dataTables.bootstrap4.min.css	(from https://technext.github.io/deskapp2/index.html)
12:53:43	3993/3993	---M-Z	200	added ('OK')	text/css	etag:W/%225f6338af-f99%22	https://technext.github.io/deskapp2/src/plugins/datatables/css/responsive.bootstrap4.min.css	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/src/plugins/datatables/css/responsive.bootstrap4.min.css	(from https://technext.github.io/deskapp2/index.html)
12:53:43	69097/69097	---M-Z	200	added ('OK')	text/css	etag:W/%225f6338af-10de9%22	https://technext.github.io/deskapp2/vendors/styles/style.css	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/styles/style.css	(from https://technext.github.io/deskapp2/index.html)
12:53:44	4271/4271	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f6338af-10af%22	https://technext.github.io/deskapp2/vendors/images/deskapp-logo.svg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/deskapp-logo.svg	(from https://technext.github.io/deskapp2/index.html)
12:53:44	2427/2427	---M--	200	added ('OK')	image/jpeg	etag:%225f6338af-97b%22	https://technext.github.io/deskapp2/vendors/images/img.jpg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/img.jpg	(from https://technext.github.io/deskapp2/index.html)
12:53:44	19451/19451	---M--	200	added ('OK')	image/jpeg	etag:%225f6338af-4bfb%22	https://technext.github.io/deskapp2/vendors/images/photo1.jpg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/photo1.jpg	(from https://technext.github.io/deskapp2/index.html)
12:53:44	26446/26446	---M--	200	added ('OK')	image/jpeg	etag:%225f6338af-674e%22	https://technext.github.io/deskapp2/vendors/images/photo2.jpg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/photo2.jpg	(from https://technext.github.io/deskapp2/index.html)
12:53:44	22673/22673	---M--	200	added ('OK')	image/jpeg	etag:%225f6338af-5891%22	https://technext.github.io/deskapp2/vendors/images/photo3.jpg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/photo3.jpg	(from https://technext.github.io/deskapp2/index.html)
12:53:45	25847/25847	---M--	200	added ('OK')	image/jpeg	etag:%225f6338af-64f7%22	https://technext.github.io/deskapp2/vendors/images/photo4.jpg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/photo4.jpg	(from https://technext.github.io/deskapp2/index.html)
12:53:45	46828/46828	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-b6ec%22	https://technext.github.io/deskapp2/profile.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/profile.html	(from https://technext.github.io/deskapp2/index.html)
12:53:45	34108/34108	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-853c%22	https://technext.github.io/deskapp2/faq.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/faq.html	(from https://technext.github.io/deskapp2/index.html)
12:53:45	4771/4771	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-12a3%22	https://technext.github.io/deskapp2/login.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/login.html	(from https://technext.github.io/deskapp2/index.html)
12:53:46	1901/1901	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f6338af-76d%22	https://technext.github.io/deskapp2/vendors/images/github.svg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/github.svg	(from https://technext.github.io/deskapp2/index.html)
12:53:46	3658/3658	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f6338af-e4a%22	https://technext.github.io/deskapp2/vendors/images/deskapp-logo-white.svg	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/vendors/images/deskapp-logo-white.svg	(from https://technext.github.io/deskapp2/index.html)
12:53:46	25515/25515	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-63ab%22	https://technext.github.io/deskapp2/index2.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/index2.html	(from https://technext.github.io/deskapp2/index.html)
12:53:46	52536/52536	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-cd38%22	https://technext.github.io/deskapp2/form-basic.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/form-basic.html	(from https://technext.github.io/deskapp2/index.html)
12:53:47	33716/33716	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-83b4%22	https://technext.github.io/deskapp2/advanced-components.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/advanced-components.html	(from https://technext.github.io/deskapp2/index.html)
12:53:47	30367/30367	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-769f%22	https://technext.github.io/deskapp2/form-wizard.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/form-wizard.html	(from https://technext.github.io/deskapp2/index.html)
12:53:47	20551/20551	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-5047%22	https://technext.github.io/deskapp2/html5-editor.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/html5-editor.html	(from https://technext.github.io/deskapp2/index.html)
12:53:47	24398/24398	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-5f4e%22	https://technext.github.io/deskapp2/form-pickers.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/form-pickers.html	(from https://technext.github.io/deskapp2/index.html)
12:53:48	43712/43712	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-aac0%22	https://technext.github.io/deskapp2/image-cropper.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/image-cropper.html	(from https://technext.github.io/deskapp2/index.html)
12:53:48	21094/21094	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-5266%22	https://technext.github.io/deskapp2/image-dropzone.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/image-dropzone.html	(from https://technext.github.io/deskapp2/index.html)
12:53:48	34456/34456	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-8698%22	https://technext.github.io/deskapp2/basic-table.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/basic-table.html	(from https://technext.github.io/deskapp2/index.html)
12:53:48	43047/43047	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-a827%22	https://technext.github.io/deskapp2/datatable.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/datatable.html	(from https://technext.github.io/deskapp2/index.html)
12:53:48	22714/22714	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-58ba%22	https://technext.github.io/deskapp2/calendar.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/calendar.html	(from https://technext.github.io/deskapp2/index.html)
12:53:49	34823/34823	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-8807%22	https://technext.github.io/deskapp2/ui-buttons.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/ui-buttons.html	(from https://technext.github.io/deskapp2/index.html)
12:53:49	36746/36746	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-8f8a%22	https://technext.github.io/deskapp2/ui-cards.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/ui-cards.html	(from https://technext.github.io/deskapp2/index.html)
12:53:49	35288/35288	---M-Z	200	added ('OK')	text/html	etag:W/%225f6338af-89d8%22	https://technext.github.io/deskapp2/ui-cards-hover.html	C:/Mes%20Sites%20Web/tamplates/technext.github.io/deskapp2/ui-cards-hover.html	(from https://technext.github.io/deskapp2/index.html)
